case,role,curve_label,tokens_seen,loss,run_id,run_name,run_state,run_created_at,smoothed_loss
B1,baseline,Native SiLU,1835008.0,12.250150680541992,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,12.250150680541992
B1,baseline,Native SiLU,36831232.0,7.626668453216553,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,12.139345763592642
B1,baseline,Native SiLU,40239104.0,7.779174327850342,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,12.12905850952514
B1,baseline,Native SiLU,57671680.0,7.131890296936035,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,12.069039368593394
B1,baseline,Native SiLU,78381056.0,6.549015522003174,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.990367387750217
B1,baseline,Native SiLU,189661184.0,5.391600608825684,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.500516178460511
B1,baseline,Native SiLU,200015872.0,5.536458969116211,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.457863463965118
B1,baseline,Native SiLU,217317376.0,5.409797191619873,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.385765279857162
B1,baseline,Native SiLU,226492416.0,5.494019985198975,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.348414717781788
B1,baseline,Native SiLU,242089984.0,5.4725446701049805,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.285230446914179
B1,baseline,Native SiLU,288882688.0,8.186038970947266,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.18632321566962
B1,baseline,Native SiLU,299368448.0,7.763176441192627,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.161533383479082
B1,baseline,Native SiLU,316932096.0,7.151270389556885,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.113007647618074
B1,baseline,Native SiLU,328335360.0,6.748457908630371,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,11.078645614239667
B1,baseline,Native SiLU,375914496.0,5.83847188949585,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.908646755723753
B1,baseline,Native SiLU,384696320.0,5.633810520172119,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.876635843891176
B1,baseline,Native SiLU,390332416.0,5.692774772644043,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.856423850110708
B1,baseline,Native SiLU,459931648.0,5.163418292999268,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.588298484513327
B1,baseline,Native SiLU,468451328.0,5.003632068634033,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.555416026647357
B1,baseline,Native SiLU,480903168.0,5.021584510803223,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.507859285757169
B1,baseline,Native SiLU,499908608.0,4.956692218780518,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.4352101881565
B1,baseline,Native SiLU,539099136.0,5.005663871765137,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,10.289702912733658
B1,baseline,Native SiLU,631242752.0,4.658456802368164,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.94128534978074
B1,baseline,Native SiLU,688390144.0,4.532045841217041,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.731205237225698
B1,baseline,Native SiLU,698482688.0,4.302694320678711,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.693361969138865
B1,baseline,Native SiLU,703201280.0,4.388969421386719,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.676041345736698
B1,baseline,Native SiLU,706084864.0,4.526993751525879,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.665759974898661
B1,baseline,Native SiLU,711983104.0,4.288896560668945,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.643822358686725
B1,baseline,Native SiLU,724959232.0,4.281121730804443,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.595804532286895
B1,baseline,Native SiLU,754057216.0,4.317427635192871,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.490410398862895
B1,baseline,Native SiLU,774373376.0,4.341772079467773,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.418414928760047
B1,baseline,Native SiLU,796524544.0,4.395718574523926,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.341885371879563
B1,baseline,Native SiLU,796655616.0,4.38789701461792,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.341435311646482
B1,baseline,Native SiLU,813170688.0,4.364368438720703,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.28478582042199
B1,baseline,Native SiLU,882769920.0,4.327599048614502,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,9.051315555516824
B1,baseline,Native SiLU,942276608.0,3.915662288665772,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.843795023755776
B1,baseline,Native SiLU,954990592.0,3.9342658519744873,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.800719087404854
B1,baseline,Native SiLU,988807168.0,3.9056341648101807,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.687313261917724
B1,baseline,Native SiLU,995229696.0,3.854560136795044,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.665846835627342
B1,baseline,Native SiLU,998768640.0,4.017846584320068,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.65445922159007
B1,baseline,Native SiLU,999817216.0,4.059645652770996,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.651120844030766
B1,baseline,Native SiLU,1012400128.0,3.767735719680786,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.608714087595107
B1,baseline,Native SiLU,1024065536.0,3.935533046722412,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.571079829036805
B1,baseline,Native SiLU,1040580608.0,4.095391750335693,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.520137083236625
B1,baseline,Native SiLU,1112670208.0,4.056973457336426,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.302598897966373
B1,baseline,Native SiLU,1127874560.0,3.811728000640869,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.255518787453113
B1,baseline,Native SiLU,1144913920.0,3.893234252929688,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.20429984888969
B1,baseline,Native SiLU,1153171456.0,4.024917602539063,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.180446698840393
B1,baseline,Native SiLU,1158938624.0,3.812135219573975,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,8.163019246426435
B1,baseline,Native SiLU,1241513984.0,3.8504562377929688,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.923112842628018
B1,baseline,Native SiLU,1251475456.0,3.7048821449279785,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.894087268472014
B1,baseline,Native SiLU,1277427712.0,3.82250714302063,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.821499538454796
B1,baseline,Native SiLU,1336803328.0,3.907269954681397,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.663675332164387
B1,baseline,Native SiLU,1351745536.0,3.781757116317749,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.623677216232944
B1,baseline,Native SiLU,1371013120.0,3.596756219863892,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.570254126902774
B1,baseline,Native SiLU,1394606080.0,3.804140329360962,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.509166243741531
B1,baseline,Native SiLU,1396441088.0,3.738121271133423,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.504372785285337
B1,baseline,Native SiLU,1406271488.0,3.967578411102295,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.480355291923261
B1,baseline,Native SiLU,1444806656.0,3.654861688613892,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.379526865969456
B1,baseline,Native SiLU,1469841408.0,3.790179967880249,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.317779059931665
B1,baseline,Native SiLU,1528299520.0,3.7464778423309326,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.1759622814708965
B1,baseline,Native SiLU,1556873216.0,3.676892280578613,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.107342261464203
