direction,function,degree,elements,memory_regime,native_median_us,polynomial_median_us,speedup_native_over_polynomial
forward,sigmoid,3,4194304,L2 cache,9.235136032104492,5.426784038543701,1.701769587017282
forward,tanh,4,4194304,L2 cache,6.539999961853027,5.5107197761535645,1.1867778126105137
forward,silu,3,4194304,L2 cache,8.42512035369873,5.485695838928223,1.5358343956862186
forward,gelu,5,4194304,L2 cache,9.029760360717773,5.396704196929932,1.6731990546850073
backward,sigmoid,4,4194304,L2 cache,11.333536148071289,5.309023857116699,2.1347683591360744
backward,tanh,4,4194304,L2 cache,11.361472129821777,5.202079772949219,2.1840249718778555
backward,silu,3,4194304,L2 cache,11.513664245605469,5.25164794921875,2.1923907232430295
backward,gelu,5,4194304,L2 cache,11.770655632019043,5.367167949676514,2.1930850203278016
forward,sigmoid,3,268435456,HBM,198.86495971679688,159.2587127685547,1.2486912411869147
forward,tanh,4,268435456,HBM,182.32582092285156,159.58355712890625,1.1425100693524137
forward,silu,3,268435456,HBM,202.18258666992188,159.6096649169922,1.2667314775397247
forward,gelu,5,268435456,HBM,272.690673828125,160.21554565429688,1.7020238124490112
backward,sigmoid,4,268435456,HBM,224.0865020751953,223.29257202148438,1.0035555596253087
backward,tanh,4,268435456,HBM,223.959716796875,223.29029846191406,1.002997973219491
backward,silu,3,268435456,HBM,249.9811553955078,223.3158416748047,1.1194062791099857
backward,gelu,5,268435456,HBM,360.584716796875,223.25164794921875,1.615149183037136
